City_ID,city,max_temp,weather,lat,lon,Hotel Name
1089,isangel,82.51,scattered clouds,-19.55,169.2667,
1090,georgetown,79.9,few clouds,5.4112,100.3354,
1091,vaini,75.36,overcast clouds,-21.2,-175.2,
1098,rikitea,73.63,broken clouds,-23.1203,-134.9692,
1100,atuona,77.7,light rain,-9.8,-139.0333,
1102,puerto ayora,70.77,scattered clouds,-0.7393,-90.3518,
1105,faanui,78.91,scattered clouds,-16.4833,-151.75,
1107,katobu,77.99,broken clouds,-4.9408,122.5276,
1110,saint-philippe,71.19,light rain,-21.3585,55.7679,
1119,itarema,79.14,clear sky,-2.9248,-39.9167,
1121,vaini,75.36,overcast clouds,-21.2,-175.2,
1122,tanout,88.05,clear sky,14.9709,8.8879,
1131,vaini,75.36,overcast clouds,-21.2,-175.2,
1133,lorengau,83.61,overcast clouds,-2.0226,147.2712,
1135,cabo san lucas,88.52,few clouds,22.8909,-109.9124,
1139,luanda,71.6,few clouds,-8.8368,13.2343,
1140,rikitea,73.63,broken clouds,-23.1203,-134.9692,
1143,touros,77.9,clear sky,-5.1989,-35.4608,
1144,luocheng,73.04,overcast clouds,29.3848,104.0286,
1145,birnin kebbi,84.29,few clouds,12.4539,4.1975,
1146,saint anthony,70.93,clear sky,45.0205,-93.218,
1147,rikitea,73.63,broken clouds,-23.1203,-134.9692,
1149,saint george,91.26,clear sky,37.1041,-113.5841,
1152,olinda,80.33,scattered clouds,-8.0089,-34.8553,
1157,vanimo,83.43,broken clouds,-2.6741,141.3028,
1158,westport,71.98,clear sky,41.1415,-73.3579,
1161,vaini,75.36,overcast clouds,-21.2,-175.2,
1162,kununurra,84.18,broken clouds,-15.7667,128.7333,
1163,impfondo,71.26,light rain,1.6381,18.0667,
1164,ribeira grande,71.71,scattered clouds,38.5167,-28.7,
1166,filadelfia,77.7,broken clouds,39.9523,-75.1638,
1167,iquitos,80.64,broken clouds,-3.7481,-73.2472,
1170,dicabisagan,79.5,overcast clouds,17.0818,122.4157,
1171,portales,81.34,clear sky,34.1862,-103.3344,
1175,iracoubo,81.25,few clouds,5.4802,-53.2011,
1176,avarua,77.05,broken clouds,-21.2078,-159.775,
1179,port-gentil,77.61,overcast clouds,-0.7193,8.7815,
1181,avarua,77.05,broken clouds,-21.2078,-159.775,
1182,avera,80.47,overcast clouds,33.194,-82.5271,
1186,atuona,77.7,light rain,-9.8,-139.0333,
1188,kibala,78.75,clear sky,9.1104,18.3463,
1190,caucaia,81.03,clear sky,-3.7361,-38.6531,
1191,mahebourg,72.25,light rain,-20.4081,57.7,
1192,albion,71.04,overcast clouds,42.2431,-84.753,
1193,maxixe,71.71,light rain,-23.8597,35.3472,
1195,rikitea,73.63,broken clouds,-23.1203,-134.9692,
1198,saint-philippe,71.19,light rain,-21.3585,55.7679,
1199,kirakira,82.81,scattered clouds,-10.4544,161.9205,
1201,katsuura,78.19,clear sky,35.1333,140.3,
1202,lodwar,86.88,broken clouds,3.1191,35.5973,
1203,bathsheba,84.81,scattered clouds,13.2167,-59.5167,
1204,mount isa,80.37,few clouds,-20.7333,139.5,
1207,buala,83.82,light rain,-8.145,159.5921,
1209,tabuk,76.28,broken clouds,17.4189,121.4443,
1210,plainfield,75.47,scattered clouds,40.6168,-74.4173,
1211,rikitea,73.63,broken clouds,-23.1203,-134.9692,
1216,georgetown,79.9,few clouds,5.4112,100.3354,
1219,kudahuvadhoo,82.78,clear sky,2.6708,72.8944,
1221,yeppoon,82.18,clear sky,-23.1333,150.7333,
1222,meulaboh,74.35,broken clouds,4.1363,96.1285,
1227,russell,76.91,overcast clouds,32.3502,-85.1999,
1230,atuona,77.7,light rain,-9.8,-139.0333,
