city_id,city,lon,lat,max_temp,humidity,cloudiness,wind_speed,weather
1244,torbay,-52.7314,47.6666,54.68,95,90,2.3,overcast clouds
1245,ushuaia,-68.3,-54.8,38.86,70,75,14.97,light rain
1246,victoria,114.1577,22.2855,84.33,80,78,1.99,broken clouds
1247,mahebourg,57.7,-20.4081,72.25,88,40,11.5,light rain
1248,east london,27.9116,-33.0153,57.07,70,39,5.06,light rain
1249,jamestown,-79.2353,42.097,67.59,97,90,3.0,overcast clouds
1250,waddan,16.139,29.1614,76.19,38,6,7.81,clear sky
1251,amilly,2.7719,47.9728,53.15,98,100,6.67,overcast clouds
1252,kieta,155.6333,-6.2167,85.44,65,100,1.72,overcast clouds
1253,mataura,168.8643,-46.1927,50.49,80,100,8.95,overcast clouds
1254,tuktoyaktuk,-133.0374,69.4541,33.48,87,100,21.45,overcast clouds
1255,bredasdorp,20.0403,-34.5322,45.72,87,65,5.75,broken clouds
1256,mataura,168.8643,-46.1927,50.49,80,100,8.95,overcast clouds
1257,bambous virieux,57.7575,-20.3428,72.21,88,40,11.5,light rain
1258,monrovia,-10.7969,6.3005,78.24,87,84,4.14,broken clouds
1259,hermanus,19.2345,-34.4187,51.91,73,54,9.55,broken clouds
1260,namatanai,152.4333,-3.6667,84.2,67,97,6.67,overcast clouds
1261,avarua,-159.775,-21.2078,78.85,65,75,8.05,broken clouds
1262,mount gambier,140.7667,-37.8333,51.71,87,75,19.57,broken clouds
1263,puerto el triunfo,-88.55,13.2833,90.52,82,38,4.38,scattered clouds
1264,mataura,168.8643,-46.1927,50.49,80,100,8.95,overcast clouds
1265,camocim,-40.8411,-2.9022,79.93,79,3,18.16,clear sky
1266,punta arenas,-70.9167,-53.15,41.11,70,40,35.68,scattered clouds
1267,black river,-77.8487,18.0264,80.6,75,64,5.95,light rain
1268,bredasdorp,20.0403,-34.5322,45.72,87,65,5.75,broken clouds
1269,khatanga,102.5,71.9667,20.28,92,99,13.31,overcast clouds
1270,volgo-kaspiyskiy,47.9187,46.2031,44.58,76,0,11.18,clear sky
1271,ostrovnoy,39.5131,68.0531,44.44,85,17,23.29,few clouds
1272,albany,-73.9662,42.6001,62.67,94,100,1.21,overcast clouds
1273,ushuaia,-68.3,-54.8,38.86,70,75,14.97,light rain
1274,lompoc,-120.4579,34.6391,93.34,58,1,10.36,clear sky
1275,khorixas,14.9667,-20.3667,56.44,52,0,1.19,clear sky
1276,ponta do sol,-17.1,32.6667,76.01,78,100,6.17,overcast clouds
1277,makakilo city,-158.0858,21.3469,84.52,58,75,9.22,light rain
1278,lompoc,-120.4579,34.6391,93.34,58,1,10.36,clear sky
1279,paracuru,-39.0306,-3.41,81.1,82,1,14.41,clear sky
1280,pangnirtung,-65.7125,66.1451,37.08,72,77,1.25,broken clouds
1281,punta arenas,-70.9167,-53.15,41.11,70,40,35.68,scattered clouds
1282,port alfred,26.891,-33.5906,54.88,78,24,8.3,light rain
1283,punta arenas,-70.9167,-53.15,41.11,70,40,35.68,scattered clouds
1284,mataura,168.8643,-46.1927,50.49,80,100,8.95,overcast clouds
1285,nassjo,14.6968,57.6531,56.32,82,100,13.87,light rain
1286,tocache,-76.5125,-8.1842,77.56,79,75,1.16,broken clouds
1287,vaini,-175.2,-21.2,75.36,83,90,13.8,overcast clouds
1288,punta arenas,-70.9167,-53.15,41.11,70,40,35.68,scattered clouds
1289,jimeta,12.4667,9.2833,79.72,62,44,4.09,scattered clouds
1290,hilo,-155.09,19.7297,83.93,68,20,9.22,few clouds
1291,busselton,115.3333,-33.65,55.06,71,97,9.35,overcast clouds
1292,rikitea,-134.9692,-23.1203,73.63,64,83,16.62,broken clouds
1293,ushuaia,-68.3,-54.8,38.86,70,75,14.97,light rain
1294,beitbridge,30.0,-22.2167,63.41,76,44,21.05,scattered clouds
1295,hualmay,-77.6139,-11.0964,63.7,79,53,10.85,broken clouds
1296,atuona,-139.0333,-9.8,77.7,76,12,16.44,light rain
1297,komsomolskiy,71.7189,40.4272,56.12,47,96,0.0,overcast clouds
1298,victoria,114.1577,22.2855,84.33,80,78,1.99,broken clouds
1299,tuktoyaktuk,-133.0374,69.4541,35.6,93,90,14.97,light intensity drizzle
1300,cape town,18.4232,-33.9258,55.11,66,2,17.43,clear sky
1301,mataura,168.8643,-46.1927,50.49,80,100,8.95,overcast clouds
1302,balikpapan,116.8289,-1.2675,72.59,100,75,8.05,moderate rain
1303,burgos,-3.7079,42.3394,43.16,93,0,3.44,clear sky
1304,kodiak,-152.4072,57.79,43.36,49,1,7.7,clear sky
1305,kapaa,-159.319,22.0752,78.19,79,90,3.0,light rain
1306,barsovo,73.1667,61.1667,30.33,91,97,7.78,overcast clouds
1307,bredasdorp,20.0403,-34.5322,45.72,87,65,5.75,broken clouds
1308,mahebourg,57.7,-20.4081,72.25,88,40,11.5,light rain
1309,tuktoyaktuk,-133.0374,69.4541,35.6,93,90,14.97,light intensity drizzle
1310,cabo san lucas,-109.9124,22.8909,88.52,65,20,6.91,few clouds
1311,mataura,168.8643,-46.1927,50.49,80,100,8.95,overcast clouds
1312,ushuaia,-68.3,-54.8,38.86,70,75,14.97,light rain
1313,busselton,115.3333,-33.65,55.06,71,97,9.35,overcast clouds
1314,westport,-73.3579,41.1415,71.98,86,1,3.0,clear sky
1315,albany,-73.9662,42.6001,62.67,94,100,1.21,overcast clouds
1316,tuktoyaktuk,-133.0374,69.4541,35.6,93,90,14.97,light intensity drizzle
1317,sechura,-80.8222,-5.5569,68.97,67,25,20.24,scattered clouds
1318,egvekinot,-179.1667,66.3167,28.06,98,100,4.03,snow
1319,ushuaia,-68.3,-54.8,38.86,70,75,14.97,light rain
1320,caravelas,-39.2481,-17.7125,76.21,80,6,13.42,clear sky
1321,marsh harbour,-77.0636,26.5412,80.4,67,1,8.88,clear sky
1322,bluff,168.3333,-46.6,50.81,81,100,24.67,overcast clouds
1323,agadir,-9.5982,30.4202,64.85,79,96,6.17,overcast clouds
1324,mount isa,139.5,-20.7333,80.37,18,21,12.66,few clouds
1325,luderitz,15.1594,-26.6481,57.11,58,80,19.77,broken clouds
1326,carnarvon,113.6333,-24.8667,62.67,67,0,12.66,clear sky
1327,punta arenas,-70.9167,-53.15,41.11,70,40,35.68,scattered clouds
1328,nikolskoye,30.7861,59.7035,45.88,92,0,7.07,clear sky
1329,acapulco,-99.8901,16.8634,87.62,70,20,4.61,few clouds
1330,kilindoni,39.6668,-7.9139,76.15,73,63,9.37,broken clouds
1331,punta arenas,-70.9167,-53.15,41.11,70,40,35.68,scattered clouds
1332,prince rupert,-130.3201,54.3161,47.89,75,90,5.75,light rain
1333,vaini,-175.2,-21.2,75.36,83,90,13.8,overcast clouds
1334,new norfolk,147.0587,-42.7826,61.66,75,67,1.99,broken clouds
1335,maniitsoq,-52.9,65.4167,38.73,67,77,4.21,broken clouds
1336,mataura,168.8643,-46.1927,50.49,80,100,8.95,overcast clouds
1337,khatanga,102.5,71.9667,20.28,92,99,13.31,overcast clouds
1338,wau,27.9953,7.7029,71.42,91,86,1.79,light rain
1339,thompson,-97.8558,55.7435,62.76,51,75,3.44,broken clouds
1340,yarada,83.2667,17.65,79.12,100,20,2.3,few clouds
1341,atuona,-139.0333,-9.8,77.7,76,12,16.44,light rain
1342,tateyama,139.8667,34.9833,78.1,72,6,9.01,clear sky
1343,alice springs,133.8833,-23.7,69.35,24,0,13.8,clear sky
1344,vaini,-175.2,-21.2,75.36,83,90,13.8,overcast clouds
1345,aksu,80.2644,41.1231,49.01,72,100,2.3,light rain
1346,faanui,-151.75,-16.4833,78.91,70,42,9.44,scattered clouds
1347,sioux lookout,-91.917,50.1001,61.18,67,40,3.44,scattered clouds
1348,bluff,168.3333,-46.6,50.81,81,100,24.67,overcast clouds
1349,mar del plata,-57.5575,-38.0023,50.0,68,0,8.01,clear sky
1350,batticaloa,81.6924,7.7102,78.82,85,100,3.91,overcast clouds
1351,ilulissat,-51.1,69.2167,28.42,64,40,0.0,scattered clouds
1352,atuona,-139.0333,-9.8,77.7,76,12,16.44,light rain
1353,bathsheba,-59.5167,13.2167,84.81,65,40,23.02,scattered clouds
1354,punta arenas,-70.9167,-53.15,41.11,70,40,35.68,scattered clouds
1355,kodiak,-152.4072,57.79,43.36,49,1,7.7,clear sky
1356,faanui,-151.75,-16.4833,78.91,70,42,9.44,scattered clouds
1357,hualmay,-77.6139,-11.0964,63.7,79,53,10.85,broken clouds
1358,aklavik,-135.0107,68.2191,34.63,97,100,16.15,overcast clouds
1359,bang saphan,99.5117,11.2126,75.15,94,85,3.58,overcast clouds
1360,provideniya,-173.3,64.3833,33.91,69,75,6.71,broken clouds
1361,norman wells,-126.8329,65.282,33.84,93,90,21.85,mist
1362,russell,-85.1999,32.3502,76.91,85,90,3.44,overcast clouds
1363,hilo,-155.09,19.7297,83.93,69,20,9.22,few clouds
1364,bluff,168.3333,-46.6,50.81,81,100,24.67,overcast clouds
1365,albany,-73.9662,42.6001,62.67,94,100,1.21,overcast clouds
1366,gat,34.7642,31.61,72.81,64,46,6.8,scattered clouds
1367,maragogi,-35.2225,-9.0122,75.83,84,9,9.37,clear sky
1368,upernavik,-56.1549,72.7868,30.43,86,99,4.68,overcast clouds
1369,atar,-13.0499,20.5169,93.27,9,23,7.9,few clouds
1370,albany,-73.9662,42.6001,62.67,94,100,1.21,overcast clouds
1371,hilo,-155.09,19.7297,83.93,69,20,9.22,few clouds
1372,hilo,-155.09,19.7297,83.93,69,20,9.22,few clouds
1373,carnarvon,113.6333,-24.8667,62.67,67,0,12.66,clear sky
1374,zhoucheng,116.3117,35.9122,76.01,97,98,8.9,overcast clouds
1375,torbay,-52.7314,47.6666,54.68,95,90,2.3,overcast clouds
1376,hasaki,140.8333,35.7333,73.8,75,0,10.38,clear sky
1377,ushuaia,-68.3,-54.8,38.86,70,75,14.97,light rain
1378,port alfred,26.891,-33.5906,54.88,78,24,8.3,light rain
1379,bluff,168.3333,-46.6,50.81,81,100,24.67,overcast clouds
1380,faanui,-151.75,-16.4833,78.91,70,42,9.44,scattered clouds
1381,rikitea,-134.9692,-23.1203,73.63,64,83,16.62,broken clouds
1382,jamestown,-79.2353,42.097,67.59,97,90,3.0,overcast clouds
1383,new norfolk,147.0587,-42.7826,61.66,75,67,1.99,broken clouds
1384,salalah,54.0924,17.0151,80.69,89,75,5.75,broken clouds
1385,qaanaaq,-69.3632,77.484,28.09,96,100,6.4,overcast clouds
1386,east london,27.9116,-33.0153,57.07,70,39,5.06,light rain
1387,anadyr,177.4833,64.75,37.9,93,75,17.0,light intensity drizzle
1388,tuktoyaktuk,-133.0374,69.4541,35.6,93,90,14.97,light intensity drizzle
1389,mar del plata,-57.5575,-38.0023,50.0,68,0,8.01,clear sky
1390,punta arenas,-70.9167,-53.15,41.11,70,40,35.68,scattered clouds
1391,san cristobal,-72.225,7.7669,77.18,87,56,3.4,broken clouds
1392,ryotsu,138.4333,38.0833,69.76,64,1,6.2,clear sky
1393,albany,-73.9662,42.6001,62.67,94,100,1.21,overcast clouds
1394,sao joao da barra,-41.0511,-21.6403,74.66,86,20,24.36,few clouds
1395,monroe,-77.6831,43.1501,67.96,97,90,3.44,light rain
1396,busselton,115.3333,-33.65,55.06,71,97,9.35,overcast clouds
1397,ambilobe,49.05,-13.2,67.12,84,8,3.27,clear sky
1398,vaini,-175.2,-21.2,75.36,83,90,13.8,overcast clouds
1399,itarsi,77.75,22.6167,75.22,93,52,2.57,broken clouds
1400,kembe,21.8865,4.6228,71.01,90,70,1.79,broken clouds
1401,tabas,56.9244,33.5959,69.4,22,0,4.41,clear sky
1402,vaini,-175.2,-21.2,75.36,83,90,13.8,overcast clouds
1403,darnah,22.6367,32.767,69.91,66,0,18.28,clear sky
1404,mataura,168.8643,-46.1927,50.49,80,100,8.95,overcast clouds
1405,busselton,115.3333,-33.65,55.06,71,97,9.35,overcast clouds
1406,todos santos,-110.2167,23.45,88.75,73,74,5.75,broken clouds
1407,rikitea,-134.9692,-23.1203,73.63,64,83,16.62,broken clouds
1408,filadelfia,-75.1638,39.9523,77.7,76,75,4.61,broken clouds
1409,marzuq,46.4667,14.4,75.99,58,84,6.29,broken clouds
1410,clyde river,-68.5914,70.4692,35.58,85,94,1.57,overcast clouds
1411,kearney,-99.0815,40.6995,79.36,32,1,1.99,clear sky
1412,mataura,168.8643,-46.1927,50.49,80,100,8.95,overcast clouds
1413,hilo,-155.09,19.7297,83.93,69,20,9.22,few clouds
1414,haines junction,-137.5108,60.7522,37.35,65,100,11.5,light rain
1415,ostrovnoy,39.5131,68.0531,44.44,85,17,23.29,few clouds
1416,castro,-50.0119,-24.7911,62.2,99,100,4.38,overcast clouds
1417,la ronge,-105.2842,55.1001,64.62,29,75,5.75,broken clouds
1418,avarua,-159.775,-21.2078,78.85,65,75,8.05,broken clouds
1419,kruisfontein,24.7314,-34.0033,48.88,79,27,5.55,scattered clouds
1420,torbay,-52.7314,47.6666,54.68,95,90,2.3,overcast clouds
1421,puerto ayora,-90.3518,-0.7393,75.16,81,30,10.63,scattered clouds
1422,hilo,-155.09,19.7297,83.93,69,20,9.22,few clouds
1423,cape town,18.4232,-33.9258,55.27,54,20,12.66,few clouds
1424,nouadhibou,-17.0347,20.931,69.78,83,17,11.5,few clouds
1425,kazanskoye,69.235,55.6448,30.07,95,99,11.1,light snow
1426,bluff,168.3333,-46.6,50.81,81,100,24.67,overcast clouds
1427,bluff,168.3333,-46.6,50.81,81,100,24.67,overcast clouds
1428,vaini,-175.2,-21.2,75.36,83,90,13.8,overcast clouds
1429,mao,4.2658,39.8885,73.96,73,40,10.36,scattered clouds
1430,raton,-104.4391,36.9034,68.61,39,1,5.75,clear sky
1431,new norfolk,147.0587,-42.7826,61.66,75,67,1.99,broken clouds
1432,labuhan,112.2051,-6.8844,78.44,74,100,12.39,overcast clouds
1433,valparai,76.9667,10.3667,60.57,95,99,1.01,overcast clouds
1434,hermanus,19.2345,-34.4187,51.91,73,54,9.55,broken clouds
1435,sisimiut,-53.6735,66.9395,34.27,71,26,6.04,scattered clouds
1436,constitucion,-72.4167,-35.3333,53.4,73,0,16.24,clear sky
1437,atuona,-139.0333,-9.8,77.7,76,12,16.44,light rain
1438,mataura,168.8643,-46.1927,50.49,80,100,8.95,overcast clouds
1439,cidreira,-50.2056,-30.1811,63.41,92,100,15.75,overcast clouds
1440,mataura,168.8643,-46.1927,50.49,80,100,8.95,overcast clouds
1441,golyshmanovo,68.3728,56.3979,30.38,90,96,11.16,overcast clouds
1442,busselton,115.3333,-33.65,55.06,71,97,9.35,overcast clouds
1443,yellowknife,-114.3525,62.456,52.41,43,40,11.5,scattered clouds
1444,tasiilaq,-37.6368,65.6145,32.16,56,0,5.3,clear sky
1445,vaini,-175.2,-21.2,75.36,83,90,13.8,overcast clouds
1446,bengkulu,102.2655,-3.8004,74.17,91,97,3.62,moderate rain
1447,mataura,168.8643,-46.1927,50.49,80,100,8.95,overcast clouds
1448,geraldton,114.6,-28.7667,52.21,87,0,5.75,clear sky
1449,alyangula,136.4192,-13.8483,84.07,70,38,8.05,scattered clouds
1450,saint-philippe,55.7679,-21.3585,71.19,83,49,13.2,light rain
1451,qaanaaq,-69.3632,77.484,28.09,96,100,6.4,overcast clouds
1452,busselton,115.3333,-33.65,55.06,71,97,9.35,overcast clouds
1453,ishinomaki,141.3,38.4167,66.2,78,0,4.54,clear sky
1454,forio,13.8646,40.7342,71.42,85,2,8.5,clear sky
1455,polovinnoye,65.9864,54.7914,29.21,87,98,10.25,overcast clouds
1456,westport,-73.3579,41.1415,71.98,86,1,3.0,clear sky
1457,new norfolk,147.0587,-42.7826,61.66,75,67,1.99,broken clouds
1458,sur,59.5289,22.5667,82.47,77,99,14.05,overcast clouds
1459,tebingtinggi,99.1625,3.3285,77.05,94,82,2.8,broken clouds
1460,dong hoi,106.6,17.4833,77.95,83,36,0.98,scattered clouds
1461,arraial do cabo,-42.0278,-22.9661,71.47,97,62,9.69,moderate rain
1462,ushuaia,-68.3,-54.8,38.86,70,75,14.97,light rain
1463,severo-kurilsk,156.125,50.6789,48.09,77,83,29.51,broken clouds
1464,hilo,-155.09,19.7297,83.93,69,20,9.22,few clouds
1465,vestmannaeyjar,-20.2734,63.4427,46.65,78,81,12.66,broken clouds
1466,port alfred,26.891,-33.5906,54.88,78,24,8.3,light rain
1467,mar del plata,-57.5575,-38.0023,50.0,68,0,8.01,clear sky
1468,nikolskoye,30.7861,59.7035,45.88,92,0,7.07,clear sky
1469,puerto ayora,-90.3518,-0.7393,75.16,81,30,10.63,scattered clouds
1470,kruisfontein,24.7314,-34.0033,48.88,79,27,5.55,scattered clouds
1471,qaanaaq,-69.3632,77.484,28.09,96,100,6.4,overcast clouds
1472,punta arenas,-70.9167,-53.15,41.11,70,40,35.68,scattered clouds
1473,san patricio,-97.5169,28.017,88.48,63,91,4.27,overcast clouds
1474,marquette,-87.6335,46.5333,61.77,96,100,5.59,overcast clouds
1475,mount gambier,140.7667,-37.8333,51.71,87,75,19.57,broken clouds
1476,touros,-35.4608,-5.1989,77.9,73,5,14.43,clear sky
1477,ushuaia,-68.3,-54.8,38.86,70,75,14.97,light rain
1478,jamestown,-79.2353,42.097,67.59,97,90,3.0,overcast clouds
1479,cam ranh,109.1591,11.9214,78.76,83,40,4.61,scattered clouds
1480,vaini,-175.2,-21.2,75.36,83,90,13.8,overcast clouds
1481,noumea,166.4572,-22.2763,81.0,99,2,8.23,clear sky
1482,aksarayskiy,48.0119,46.7924,44.55,44,100,10.65,overcast clouds
1483,kamaishi,141.8833,39.2667,65.35,69,1,7.47,clear sky
1484,san policarpo,125.5072,12.1791,80.17,89,100,14.76,heavy intensity rain
1485,rikitea,-134.9692,-23.1203,73.63,64,83,16.62,broken clouds
1486,hobart,147.3294,-42.8794,62.02,83,75,1.99,broken clouds
1487,port alfred,26.891,-33.5906,54.88,78,24,8.3,light rain
1488,ararat,44.7049,39.8317,55.74,66,0,7.65,clear sky
1489,murray bridge,139.2667,-35.1167,56.68,56,12,25.05,few clouds
1490,khorixas,14.9667,-20.3667,56.44,52,0,1.19,clear sky
1491,atuona,-139.0333,-9.8,77.7,76,12,16.44,light rain
1492,cape town,18.4232,-33.9258,55.27,54,20,12.66,few clouds
1493,turayf,38.6637,31.6725,64.65,63,0,5.75,clear sky
1494,albany,-73.9662,42.6001,62.67,94,100,1.21,overcast clouds
1495,punta arenas,-70.9167,-53.15,41.11,70,40,35.68,scattered clouds
1496,bodden town,-81.25,19.2833,83.93,83,40,1.99,scattered clouds
1497,albany,-73.9662,42.6001,62.67,94,100,1.21,overcast clouds
1498,san patricio,-97.5169,28.017,88.48,63,91,4.27,overcast clouds
1499,panormos,24.6909,35.4182,67.86,74,13,7.34,few clouds
1500,arraial do cabo,-42.0278,-22.9661,71.47,97,62,9.69,moderate rain
1501,bredasdorp,20.0403,-34.5322,45.72,87,65,5.75,broken clouds
1502,mataura,168.8643,-46.1927,50.49,80,100,8.95,overcast clouds
1503,cayenne,-52.3333,4.9333,84.09,77,0,5.01,clear sky
1504,mataura,168.8643,-46.1927,50.49,80,100,8.95,overcast clouds
1505,ampanihy,44.75,-24.7,73.94,58,37,4.03,scattered clouds
1506,luwuk,122.7875,-0.9516,78.53,72,98,3.53,overcast clouds
1507,hermanus,19.2345,-34.4187,51.91,73,54,9.55,broken clouds
1508,ushuaia,-68.3,-54.8,38.86,70,75,14.97,light rain
1509,port elizabeth,25.5701,-33.918,52.09,87,0,8.05,clear sky
1510,cherskiy,161.3,68.75,20.17,96,93,3.02,overcast clouds
1511,paka,103.4368,4.6374,73.33,94,40,0.0,scattered clouds
1512,horizontina,-54.3078,-27.6258,62.78,95,99,7.99,light rain
1513,arraial do cabo,-42.0278,-22.9661,71.47,97,62,9.69,moderate rain
1514,pedro ii,-41.4586,-4.4247,78.58,36,6,5.37,clear sky
1515,dargaville,173.8833,-35.9333,64.2,88,92,5.97,overcast clouds
1516,rikitea,-134.9692,-23.1203,73.63,64,83,16.62,broken clouds
1517,belmonte,-38.8828,-15.8631,77.5,82,5,13.24,clear sky
1518,khatanga,102.5,71.9667,20.28,92,99,13.31,overcast clouds
1519,cape town,18.4232,-33.9258,55.27,54,20,12.66,few clouds
1520,port alfred,26.891,-33.5906,54.88,78,24,8.3,light rain
1521,richards bay,32.0377,-28.783,57.74,86,100,4.72,light rain
1522,castro,-50.0119,-24.7911,62.2,99,100,4.38,overcast clouds
1523,busselton,115.3333,-33.65,45.05,71,97,9.35,overcast clouds
1524,castro,-50.0119,-24.7911,62.2,99,100,4.38,overcast clouds
1525,quirinopolis,-50.4517,-18.4483,85.15,42,89,6.29,overcast clouds
1526,butaritari,172.7902,3.0707,82.42,68,86,18.48,overcast clouds
1527,kapaa,-159.319,22.0752,78.19,79,90,3.0,light rain
1528,kenora,-94.4337,49.8167,62.58,67,75,4.61,broken clouds
1529,hobart,147.3294,-42.8794,62.02,83,75,1.99,broken clouds
